,sample,OTU_16S_25709,OTU_16S_25947,OTU_16S_33238,v_vul_total_abundance
363,S15M5022,0,0,0,0
364,S10M1822,0,0,0,0
365,S12T3022,0,0,0,0
366,S12M2322,0,0,0,0
367,S06M3022,0,2.40E-05,0,2.40E-05
368,S09M0323,0,0,0,0
369,S02M2322,0,0,0,0
370,S14T3022,0,0,0,0
371,S02M3022,0,0,0,0
372,S14T5122,0,0,0,0
373,S12T2222,0,0,0,0
374,S08M3122,0,0,0,0
375,S11T0823,0,0,0,0
376,S08T2322,0,0,0,0
377,S02M3122,0,4.05E-05,0,4.05E-05
378,S05T3022,1.28E-05,0,0,1.28E-05
379,S03T4722,0,0,0,0
380,S10T3122,0,0,0,0
381,S14M0823,0,0,0,0
382,S10M5022,0,0,0,0
383,S09T2422,0,0,0,0
384,S12T3122,0,0,0,0
385,S03M2522,0,0,0,0
386,S02T4722,0,0,0,0
387,S06T3222,0,0,0,0
388,S12M3322,0,9.10E-05,0,9.10E-05
389,S02M2422,0,0,0,0
390,S05M4422,0,0,0,0
391,S02T4422,0,0,0,0
392,S05T3222,5.10E-05,3.82E-05,0,8.92E-05
393,S15M3222,0,0,0,0
394,S08M2422,0,0,0,0
395,S05M3522,0,2.04E-05,0,2.04E-05
396,S08T0223,0,0,0,0
397,S15T2422,0,0,0,0
398,S12T3222,0,0,0,0
399,S09M3322,0,0,0,0
400,S14T3322,0,4.78E-06,0,4.78E-06
401,S10T2822,0,2.14E-05,0,2.14E-05
402,S05T3322,0.000121971,0,0,0.000121971
403,S03M3322,0,0,0,0
404,S11M3422,0,3.21E-05,0,3.21E-05
405,S06M4922,0,0,0,0
406,S13M3322,0,9.11E-05,0,9.11E-05
407,S07M2222,0,0,0,0
408,S06T3322,0,0.000291545,0,0.000291545
409,S09T5022,0,0,0,0
410,S09T3322,0,0,0,0
411,S13M4422,0,0,0,0
412,S02M0423,0,0,0,0
413,S04T0423,0,0,0,0
414,S12T0623,0,0,0,0
